,Unnamed: 0,class,year,month,day,hour,minute,second,length,f0,f1,path
0,0,ROCKFALL,2021,3,15,0,12,54.08,13.16,,,
1,1,ROCKFALL,2021,3,15,0,19,50.48,11.44,,,
2,2,ROCKFALL,2021,3,15,0,25,19.84,11.96,,,
3,3,ROCKFALL,2021,3,15,0,36,17.96,19.24,,,
4,4,ROCKFALL,2021,3,15,0,37,52.0,22.08,,,
5,5,ROCKFALL,2021,3,15,0,39,10.6,81.68,,,
6,6,ROCKFALL,2021,3,15,0,56,59.68,37.92,,,
7,7,ROCKFALL,2021,3,15,1,0,15.36,11.24,,,
8,8,ROCKFALL,2021,3,15,1,15,33.84,56.08,,,
9,9,ROCKFALL,2021,3,15,1,37,1.0,32.64,,,
10,10,MP,2021,3,15,1,47,54.0,6.76,,,
11,11,ROCKFALL,2021,3,15,2,3,54.28,30.16,,,
12,12,ROCKFALL,2021,3,15,2,10,58.44,53.6,,,
13,13,ROCKFALL,2021,3,15,2,17,32.04,29.84,,,
14,14,ROCKFALL,2021,3,15,2,20,37.44,24.12,,,
15,15,ROCKFALL,2021,3,15,2,21,29.24,35.32,,,
16,16,ROCKFALL,2021,3,15,2,49,3.28,13.0,,,
17,17,ROCKFALL,2021,3,15,2,58,11.68,44.48,,,
18,18,ROCKFALL,2021,3,15,3,10,30.96,15.04,,,
19,19,ROCKFALL,2021,3,15,3,11,27.0,28.08,,,
21,21,ROCKFALL,2021,3,15,3,28,59.32,11.88,,,
22,22,ROCKFALL,2021,3,15,3,37,41.44,11.36,,,
23,23,ROCKFALL,2021,3,15,4,7,44.96,67.36,,,
24,24,ROCKFALL,2021,3,15,4,47,33.6,28.16,,,
25,25,ROCKFALL,2021,3,15,4,51,59.52,40.96,,,
26,26,ROCKFALL,2021,3,15,5,9,20.64,62.88,,,
27,27,ROCKFALL,2021,3,15,5,36,53.24,79.24,,,
28,28,ROCKFALL,2021,3,15,5,42,8.8,58.08,,,
29,29,ROCKFALL,2021,3,15,5,48,0.6,67.56,,,
30,30,ROCKFALL,2021,3,15,5,53,22.4,51.2,,,
31,31,ROCKFALL,2021,3,15,6,14,8.32,58.24,,,
32,32,GASBURST,2021,3,15,6,21,56.84,13.56,,,
33,33,ROCKFALL,2021,3,15,6,29,52.96,41.76,,,
34,34,ROCKFALL,2021,3,15,6,31,4.96,72.0,,,
35,35,ROCKFALL,2021,3,15,6,52,22.4,16.0,,,
36,36,ROCKFALL,2021,3,15,7,8,53.36,10.48,,,
37,37,ROCKFALL,2021,3,15,8,2,56.96,52.8,,,
38,38,ROCKFALL,2021,3,15,8,11,16.92,70.76,,,
39,39,ROCKFALL,2021,3,15,8,13,14.4,15.36,,,
40,40,ROCKFALL,2021,3,15,8,33,3.2,70.08,,,
42,42,ROCKFALL,2021,3,15,8,47,1.76,22.08,,,
43,43,ROCKFALL,2021,3,15,9,0,51.2,64.0,,,
44,44,ROCKFALL,2021,3,15,9,9,32.8,23.2,,,
45,45,ROCKFALL,2021,3,15,9,45,15.4,56.28,,,
46,46,ROCKFALL,2021,3,15,9,46,32.96,27.84,,,
47,47,ROCKFALL,2021,3,15,9,51,15.2,41.76,,,
48,48,ROCKFALL,2021,3,15,10,3,19.68,18.56,,,
49,49,ROCKFALL,2021,3,15,10,16,41.28,18.4,,,
50,50,ROCKFALL,2021,3,15,10,48,19.84,38.4,,,
51,51,ROCKFALL,2021,3,15,11,25,10.04,13.8,,,
52,52,ROCKFALL,2021,3,15,11,44,52.8,48.32,,,
53,53,ROCKFALL,2021,3,15,12,16,37.28,69.6,,,
54,54,ROCKFALL,2021,3,15,12,38,10.56,95.36,,,
55,55,ROCKFALL,2021,3,15,12,40,21.76,43.84,,,
56,56,ROCKFALL,2021,3,15,12,41,32.56,15.76,,,
57,57,ROCKFALL,2021,3,15,12,46,51.2,33.92,,,
58,58,ROCKFALL,2021,3,15,12,54,41.44,19.2,,,
59,59,ROCKFALL,2021,3,15,13,11,36.64,12.0,,,
60,60,ROCKFALL,2021,3,15,13,13,24.8,18.08,,,
61,61,ROCKFALL,2021,3,15,13,21,46.72,46.08,,,
62,62,ROCKFALL,2021,3,15,13,32,46.72,79.36,,,
63,63,ROCKFALL,2021,3,15,13,44,32.72,9.04,,,
64,64,ROCKFALL,2021,3,15,14,5,53.12,66.56,,,
65,65,ROCKFALL,2021,3,15,14,13,20.2,34.2,,,
66,66,ROCKFALL,2021,3,15,14,16,34.88,20.8,,,
67,67,ROCKFALL,2021,3,15,14,30,9.8,17.72,,,
68,68,GASBURST,2021,3,15,14,48,2.24,15.52,,,
69,69,ROCKFALL,2021,3,15,15,0,29.96,43.64,,,
70,70,ROCKFALL,2021,3,15,15,9,54.88,19.68,,,
71,71,ROCKFALL,2021,3,15,15,19,17.4,63.88,,,
72,72,ROCKFALL,2021,3,15,15,22,32.84,31.16,,,
73,73,ROCKFALL,2021,3,15,15,23,45.48,13.56,,,
74,74,ROCKFALL,2021,3,15,15,30,33.76,84.32,,,
75,75,ROCKFALL,2021,3,15,15,33,47.68,58.88,,,
76,76,ROCKFALL,2021,3,15,15,36,18.88,82.88,,,
77,77,ROCKFALL,2021,3,15,15,39,3.04,20.64,,,
78,78,ROCKFALL,2021,3,15,16,14,5.56,85.32,,,
79,79,ROCKFALL,2021,3,15,16,49,36.28,13.96,,,
80,80,ROCKFALL,2021,3,15,17,0,50.28,26.36,,,
81,81,ROCKFALL,2021,3,15,17,8,37.24,81.16,,,
82,82,ROCKFALL,2021,3,15,17,10,31.36,60.8,,,
83,83,ROCKFALL,2021,3,15,17,12,18.84,67.24,,,
84,84,ROCKFALL,2021,3,15,17,14,5.56,46.28,,,
85,85,ROCKFALL,2021,3,15,17,21,10.04,42.92,,,
86,86,ROCKFALL,2021,3,15,17,30,52.48,60.48,,,
87,87,ROCKFALL,2021,3,15,18,0,43.76,34.64,,,
88,88,ROCKFALL,2021,3,15,18,8,12.84,20.92,,,
89,89,ROCKFALL,2021,3,15,18,13,40.16,31.52,,,
90,90,ROCKFALL,2021,3,15,18,26,30.56,53.12,,,
91,91,ROCKFALL,2021,3,15,18,31,55.2,64.16,,,
92,92,ROCKFALL,2021,3,15,18,49,33.12,76.64,,,
93,93,MP,2021,3,15,19,56,15.64,9.32,,,
94,94,ROCKFALL,2021,3,15,20,29,11.44,108.24,,,
95,95,ROCKFALL,2021,3,15,20,37,17.76,58.72,,,
96,96,ROCKFALL,2021,3,15,21,12,40.96,40.0,,,
97,97,ROCKFALL,2021,3,15,21,19,2.48,12.08,,,
98,98,ROCKFALL,2021,3,15,21,47,41.72,24.68,,,
99,99,ROCKFALL,2021,3,15,22,9,3.2,72.0,,,
100,100,GASBURST,2021,3,15,22,19,38.72,14.56,,,
101,101,ROCKFALL,2021,3,15,22,36,35.84,42.56,,,
102,102,ROCKFALL,2021,3,15,22,40,26.68,59.4,,,
103,103,ROCKFALL,2021,3,15,22,48,46.2,42.12,,,
104,104,ROCKFALL,2021,3,15,22,55,47.88,40.12,,,
105,105,ROCKFALL,2021,3,15,22,59,34.4,40.16,,,
106,106,ROCKFALL,2021,3,15,23,19,16.2,17.08,,,
107,107,ROCKFALL,2021,3,16,0,11,10.8,11.44,,,
108,108,GASBURST,2021,3,16,0,20,55.68,12.8,,,
109,109,ROCKFALL,2021,3,16,0,30,22.76,71.64,,,
110,110,GASBURST,2021,3,16,0,45,7.4,19.64,,,
111,111,ROCKFALL,2021,3,16,0,53,5.76,40.32,,,
112,112,ROCKFALL,2021,3,16,1,9,42.08,37.6,,,
113,113,ROCKFALL,2021,3,16,1,26,43.2,66.56,,,
114,114,ROCKFALL,2021,3,16,1,53,15.52,46.88,,,
115,115,ROCKFALL,2021,3,16,1,58,58.4,10.08,,,
116,116,ROCKFALL,2021,3,16,2,14,24.8,135.52,,,
